date,k18,k21,k22,traditional,Log_Returns
2013-03-01,3878.6491062449627,4522.180955103274,4736.1491823476035,2809.498168490294,-0.005424499738189324
2013-03-02,3864.831726009388,4506.647510797287,4719.988274444527,2796.2007944837433,-0.004744242969748125
2013-03-03,3853.1486670745,4493.506477711638,4706.2994679467665,2785.0328678521287,-0.004001961649501738
2013-03-04,3843.780069491646,4482.970981791736,4695.302934009302,2776.1396780363357,-0.003198317377598164
2013-03-05,3836.9060733121755,4475.254148982997,4687.21884378711,2769.666514477249,-0.002334436608152892
2013-03-06,3832.706818587433,4470.569105230826,4682.267368435164,2765.7586666157545,-0.0014119415881762108
2013-03-07,3831.3624453687703,4469.1289764806415,4680.668679108445,2764.561423892737,-0.0004329741216158414
2013-03-08,3833.0530937075323,4471.146888677853,4682.642946961927,2766.2200757490814,0.0005997893448425882
2013-03-09,3837.9589036550688,4476.835967767871,4688.410343150587,2770.8799116256737,0.0016831326821989776
2013-03-10,3846.2600152627256,4486.409339696108,4698.191038829404,2778.6862209633987,0.0028133062296865833
2013-03-11,3858.136568581852,4500.080130407978,4712.205205153352,2789.7842932031426,0.0039860449672368655
2013-03-12,3873.768703663794,4518.0614658488885,4730.673013277407,2804.319417785788,0.0051965991491120375
2013-03-13,3893.3365605599006,4540.5664719642555,4753.81463435655,2822.4368841522237,0.006439777380158556
2013-03-14,3917.0202793215203,4567.808274699489,4781.850239545755,2844.281981743332,0.007710001615232072
2013-03-15,3945.0,4600.0,4815.0,2870.0,0.00900137304676114
2013-03-16,3977.3193773856365,4637.196473645552,4853.320597316771,2899.6150197294455,0.010265946591163491
2013-03-17,4013.476125224528,4678.819320753312,4896.214754863618,2932.6662872042257,0.011334028504113674
2013-03-18,4052.8314720017197,4724.131866274793,4942.9217064505865,2968.5718400632286,0.01216897036505352
2013-03-19,4094.746646202256,4772.397435161509,4992.680685887736,3006.7497159453424,0.01277869150440092
2013-03-20,4138.582876311186,4822.879352364977,5044.730926985123,3046.617952489458,0.013172440597792625
2013-03-21,4183.701390813553,4874.840942836715,5098.3116635528,3087.594587334464,0.013360229724697534
2013-03-22,4229.463418194405,4927.545531528236,5152.662129400823,3129.0976581192494,0.013352337789481158
2013-03-23,4275.2301869387875,4980.256443391056,5207.021558339246,3170.545202482704,0.013158886417578538
2013-03-24,4320.362925531747,5032.237003376689,5260.629184178126,3211.355258063717,0.0127894855490324
2013-03-25,4364.2228624583295,5082.750536436653,5312.724240727516,3250.9458625011775,0.012252941800190773
2013-03-26,4406.17122620358,5131.060367522462,5362.545961797471,3288.7350534339735,0.011557019991085106
2013-03-27,4445.569245252545,5176.429821585631,5409.333581198047,3324.140868500996,0.010708246701201404
2013-03-28,4481.778148090271,5218.122223577677,5452.326332739298,3356.5813453411333,0.009711743963604105
