IndicatorType,CountryName,MarketName,CurrencyCode,Date,Value,SourceOfTheData
Official,Bangladesh,,BDT,19/01/2010,68.98,Trading Economics
Official,Bangladesh,,BDT,20/01/2010,68.88,Trading Economics
Official,Bangladesh,,BDT,21/01/2010,68.73,Trading Economics
Official,Bangladesh,,BDT,22/01/2010,68.88,Trading Economics
Official,Bangladesh,,BDT,25/01/2010,68.85,Trading Economics
Official,Bangladesh,,BDT,26/01/2010,68.85,Trading Economics
Official,Bangladesh,,BDT,27/01/2010,69.1,Trading Economics
Official,Bangladesh,,BDT,28/01/2010,68.74,Trading Economics
Official,Bangladesh,,BDT,29/01/2010,68.85,Trading Economics
Official,Bangladesh,,BDT,01/02/2010,68.85,Trading Economics
Official,Bangladesh,,BDT,02/02/2010,68.85,Trading Economics
Official,Bangladesh,,BDT,03/02/2010,68.85,Trading Economics
Official,Bangladesh,,BDT,04/02/2010,68.85,Trading Economics
Official,Bangladesh,,BDT,05/02/2010,68.85,Trading Economics
Official,Bangladesh,,BDT,08/02/2010,68.85,Trading Economics
Official,Bangladesh,,BDT,09/02/2010,68.85,Trading Economics
Official,Bangladesh,,BDT,10/02/2010,69,Trading Economics
Official,Bangladesh,,BDT,11/02/2010,69,Trading Economics
Official,Bangladesh,,BDT,12/02/2010,69,Trading Economics
Official,Bangladesh,,BDT,15/02/2010,69.25,Trading Economics
Official,Bangladesh,,BDT,16/02/2010,69,Trading Economics
Official,Bangladesh,,BDT,17/02/2010,69,Trading Economics
Official,Bangladesh,,BDT,18/02/2010,69,Trading Economics
Official,Bangladesh,,BDT,19/02/2010,69,Trading Economics
Official,Bangladesh,,BDT,22/02/2010,69,Trading Economics
Official,Bangladesh,,BDT,23/02/2010,69,Trading Economics
Official,Bangladesh,,BDT,24/02/2010,69,Trading Economics
Official,Bangladesh,,BDT,25/02/2010,69,Trading Economics
Official,Bangladesh,,BDT,26/02/2010,69,Trading Economics
Official,Bangladesh,,BDT,01/03/2010,69.2,Trading Economics
Official,Bangladesh,,BDT,02/03/2010,69,Trading Economics
Official,Bangladesh,,BDT,03/03/2010,69,Trading Economics
Official,Bangladesh,,BDT,04/03/2010,69,Trading Economics
Official,Bangladesh,,BDT,05/03/2010,69,Trading Economics
Official,Bangladesh,,BDT,08/03/2010,69,Trading Economics
Official,Bangladesh,,BDT,09/03/2010,69,Trading Economics
